name,our_pv,scgen_pv,diff
NPW,4.63E-102,5.13E-29,-5.13E-29
NRG2,4.63E-102,5.13E-29,-5.13E-29
FOXJ1,4.63E-102,5.13E-29,-5.13E-29
PTK7,9.26E-100,5.13E-29,-5.13E-29
ATP8A2,1.58E-92,5.13E-29,-5.13E-29
FBXO2,7.30E-88,5.13E-29,-5.13E-29
ZNF573,3.59E-93,7.17E-29,-7.17E-29
GID4,4.17E-93,1.02E-28,-1.02E-28
CHTF18,2.29E-81,1.02E-28,-1.02E-28
RP11-392P7.6,4.58E-100,1.44E-28,-1.44E-28
TMEM131,1.16E-58,2.02E-28,-2.02E-28
TARBP1,3.60E-27,3.81E-27,-2.09E-28
GPR171,3.60E-27,3.81E-27,-2.09E-28
MAT2B,3.60E-27,3.81E-27,-2.09E-28
ZNF280C,8.16E-39,2.10E-28,-2.10E-28
FSCN3,2.11E-99,2.10E-28,-2.10E-28
RP11-191L17.1,9.26E-100,2.92E-28,-2.92E-28
